,TIL_INFILTRATION,T_EFFECTOR,ANGIOGENESIS,TGFB_RESISTANCE,MYELOID_INFLAMMATION,PROLIFERATION,IMMUNOPROTEASOME,EXHAUSTION,PDL1_EXPRESSION
GSM2420328,3.303288383710989,5.124990394105392,2.6040750877411036,3.336452242502104,5.856530077295418,6.034491206861019,8.75721667907826,2.679177594088447,3.512226886513957
GSM2420329,3.2518375684751764,4.496321336567627,1.569880021208645,2.4962551270048783,3.874535065266312,4.8809333552747995,8.150985977004227,2.3646648090366105,2.2283569542010486
GSM2420331,1.9742311717570378,3.549134139163472,4.126114007860999,4.505671588070996,3.8937992971371784,5.752127382290208,7.280741927780152,1.7596996113983598,1.9091970629916875
GSM2420332,1.8552448291826211,3.6015912264362577,3.876772832954257,4.459256395920745,3.3991102135316327,6.063097374710857,7.123667494522045,1.6494064781377122,1.4843959625026664
GSM2420333,1.2987558237788166,3.6419119031154974,3.2058514186267453,4.029929425040935,1.703968839205252,5.366936687660936,5.971821577720702,1.1945013940527103,1.6507645591169025
GSM2420334,2.644927133546452,5.118643567031987,3.6293769999521923,4.300205443310379,4.69033780503271,5.09267987092633,7.232662761016694,2.007797732448876,3.734438666137167
GSM2420335,0.6984489462724656,2.917993295822418,2.607959188665005,3.4954929134873565,0.9523735315302182,5.024579061236712,6.4525998381503715,0.6786263696774281,3.0816804886563336
GSM2420336,0.6657138426428376,2.835939463534736,2.785138630725696,3.573586073792699,1.1585382071094432,5.331752681808079,6.47663008049405,0.7248731906238659,3.192825403552391
GSM2420337,4.261272956308641,5.738427076900979,3.199835496460676,3.5178031466188697,3.942239972640925,5.299416447628681,8.143581277396619,3.2858696178829923,3.7398481026993275
GSM2420338,5.691453125573144,5.889356831817956,3.4689566996700716,3.957090603904959,2.95518247500983,5.509268626754852,8.753687627662362,4.574488240946351,3.797012977836145
GSM2420339,1.6885786587062839,4.0666762596660115,1.527865216329374,2.3918356041375395,10.299528381780531,1.5719000664239557,8.114361039986559,1.8063382766462879,6.563768278452033
GSM2420340,1.3356868750108815,3.548651557633544,3.321777014907667,3.8307606125994385,1.8376713960166398,5.307020518675622,7.161795578528807,1.3468906724160818,1.1230039540548198
GSM2420341,1.0209704481218504,3.070932112347846,3.2081103908334967,3.8075829986823804,1.4490049571289474,5.480784383366299,6.801884133845688,1.1066233219486983,1.2491419032803475
GSM2420342,1.846758130941163,3.133160864345211,3.016861341483302,3.0717183141098223,2.903875172267531,1.528744596220717,6.688289205409731,1.46715651615572,1.2551985664196896
GSM2420343,2.481093268786904,4.468191650217883,3.237646367088153,3.2324254578116554,3.206203300954705,2.32708008825226,7.124137111028777,1.8491359488771433,1.711494906650088
GSM2420344,1.932911730109437,3.6220387818263067,5.0387053801411215,4.843859323380711,4.375911918971883,3.7780963342899128,7.604716387505139,2.1933872333975493,1.9099650667579684
GSM2420345,3.7613288321516873,4.995646055484372,3.837878079021511,3.310968668030307,4.729481618605645,5.44247769903118,8.827452350703616,3.084136648155167,3.84799690655495
GSM2420346,2.00530838289652,3.7654069235450254,2.8935305995148664,3.5847179887049565,4.013283176707578,4.301980541315565,8.036197439294007,1.5818467223701946,1.2904244038652994
GSM2420349,3.052706220324116,4.7009699571305275,2.6785858299629566,2.8533756747634564,8.175708508477165,4.271042066990838,8.51903415825602,2.1413600103118866,1.922578456508557
GSM2420350,3.699009796422051,5.076992148681096,3.2654952091924883,3.8905786523429677,4.462373563608794,3.2756950490449657,8.385910123586743,2.590559760078576,3.554588851677637
GSM2420351,3.2691945599733887,5.32420414232247,3.257298506839669,3.555320650347098,4.413004464701685,3.078310587741431,8.325472890995533,2.3439681758878126,3.594548549550354
GSM2420352,3.4029351028729837,4.84072876905254,3.614106001556703,3.9392575762690063,5.7598466100664325,4.398735646292244,7.894480450031411,2.356470141822431,3.5643781685650637
GSM2420353,3.004285294910967,4.542162693165677,3.4812512449286683,4.191196998234394,4.91551862924628,5.8135572268923505,7.458058430845488,2.7620034594012752,3.0073749299276478
GSM2420354,2.460207529363733,3.3618340654881003,2.919683381721844,3.360443563040886,4.253885381470682,5.313734238180602,6.119929728432826,2.190939329254987,1.4467855621431225
GSM2420355,2.560923414578975,4.601371824582809,3.367579840106399,3.9998798461169565,3.443029992591886,6.018080392617427,7.1769799092393765,1.9546624971446822,2.568275371788277
GSM2420356,5.9082428927660136,6.906717703510949,3.3991149735498922,4.126153104562563,3.9176369918411162,3.043020103041259,9.36377055369713,4.654838969623528,4.843481425432457
GSM2420357,1.8062042736540205,3.7286485838554686,2.2781043935723098,3.2816010910878797,1.7529224507188284,6.215932180229662,6.31099608157432,1.4699977513005336,1.2862897581340969
GSM2420358,4.120704927393043,6.239378220607056,2.5754837690320564,3.6688536556396643,2.8580830759259164,4.8363863115664225,9.233303477739865,3.223433634756981,4.2539892662307865
GSM2420359,2.9975662098742344,5.139855340099401,3.113651724580766,3.548854182904936,2.1907782054414864,3.5088873767897915,8.784013590049312,2.295117593615777,2.778839354681497
GSM2420360,3.0820398233850486,5.017678458333132,3.711385911376638,4.126441918568636,3.7202906573585484,5.364218306466192,8.559569982230355,2.3276270714889553,2.0641930619274924
GSM2420361,3.1143299269785607,5.376379436531107,2.6551532667303763,3.457585554600312,4.210035203414285,5.793376088312464,9.468920153449638,2.1609214876430727,2.6782973086035873
GSM2420362,3.8767047083890236,6.4219294060043195,3.264513577638416,3.8791543188971955,4.565914466474525,5.268691584583137,9.057265942593103,2.9725161751282867,3.5185351389821804
GSM2420363,3.848430765074608,6.552567359720066,2.9261453607130044,3.5947653728726445,5.236955008129614,4.9410329928471475,8.827301992900438,2.8529496950870454,3.9174317553901044
GSM2420364,4.878597231192975,7.12703923072667,3.6159236578758933,4.187133209285594,3.6959041646589954,5.4893183743015825,9.450990487382992,3.884987899577479,4.7745235295902315
GSM2420365,0.49349494050261666,2.0094454875420102,2.384116695364464,3.4772773237717987,1.4574974164998507,4.903997605758167,5.28571482766043,0.7011166225291856,0.6566336545883843
GSM2420366,1.9116095310502876,4.196482021933416,2.1965537166091487,3.2494714224287655,2.2657642221269616,4.849082936277044,7.364819836448387,1.495707168345369,1.7424374453762657
GSM2420367,1.3842952591852602,3.746402909911144,2.2660144891223233,3.4485914836657954,2.390116361802185,4.621930988285894,7.319389286739489,1.3656469684887371,1.6848187375532226
GSM2420368,2.814189474577465,4.502436745294232,2.836097541932555,3.5820373998693276,2.6643996124014153,5.403155782763521,6.554606791698045,1.6841437942580186,2.19503256501146
GSM2420369,4.8964200756361755,6.24722272962839,3.081232810687515,3.9158978201537145,3.4534838680017184,5.600287856600343,7.905952428039425,3.3850426003596663,3.8042601156347384
GSM2420370,4.352073279347172,6.5634563587569845,3.903293104628698,4.617682790706761,4.545513961136426,5.96555828267195,8.317166678309572,3.345590899471124,3.420078115979374
GSM2420371,4.154946917156679,5.201316774368736,4.585051228982991,4.884801960415386,2.4437409825224874,2.74638292699635,8.140051977017892,2.920810874086503,2.4374940908089657
GSM2420372,3.254516610380868,5.143689868106265,3.6875670491591124,3.9507180365639507,2.5726326480795985,5.905994976310475,8.811454659986989,2.474072182497016,1.620117165028684
GSM2420373,3.0462434335400363,5.274813803768872,2.8788372542456693,3.6289333797027856,2.9843288204300373,5.700662047977406,8.829375366829433,2.1497611516716963,2.2883585621936606
GSM2420374,4.571928152597935,5.357084305656649,3.0070050858887885,3.968780864422005,4.618510284938083,2.7808665553131178,8.568729844718922,3.0723888527827174,3.1739269319998087
GSM2420375,4.5396543353338235,6.092653967464518,2.6854936491989307,3.7182692125823635,4.018816971997252,4.144013773334842,8.828908393839562,3.3736678092704904,3.743084055549586
GSM2420376,4.699740927749125,6.166881128688595,2.4289713622982583,3.4008799951900643,3.4572902629100755,4.788044438494629,9.230394882281722,3.657147788379774,3.807354922057604
